Wall_time,Step,Value
1649653235.0131795,1000,-72.96299743652344
1649653400.5171766,2000,-58.40700149536133
1649653573.7700355,3000,-31.124000549316406
1649653742.607373,4000,-30.725000381469727
1649653918.6465015,5000,-29.71299934387207
1649654101.5174503,6000,-29.27199935913086
1649654275.0034826,7000,-30.309999465942383
1649654448.0292819,8000,-31.524999618530273
1649654619.767201,9000,-30.70400047302246
1649654803.819639,10000,-31.17099952697754
1649654983.249452,11000,-31.53499984741211
1649655162.1288435,12000,-31.22800064086914
1649655323.1534297,13000,-31.12700080871582
1649655487.0624454,14000,-31.065000534057617
1649655653.9425657,15000,-32.25899887084961
1649655818.2010603,16000,-32.24800109863281
1649655980.035165,17000,-31.658000946044922
1649656143.922729,18000,-31.930999755859375
1649656301.6745358,19000,-31.292999267578125
1649656464.984663,20000,-29.868000030517578
1649656623.752356,21000,-31.49799919128418
1649656787.1358788,22000,-31.698999404907227
1649656920.6272883,23000,-31.03700065612793
1649657038.8611884,24000,-30.783000946044922
1649657157.4107583,25000,-30.26799964904785
