Wall_time,Step,Value
1649653210.5240948,1000,-76.82599639892578
1649653390.687237,2000,-56.99599838256836
1649653573.4329805,3000,-32.16299819946289
1649653749.976753,4000,-30.232999801635742
1649653920.000091,5000,-28.976999282836914
1649654089.9965177,6000,-29.134000778198242
1649654255.9582503,7000,-29.073999404907227
1649654429.099808,8000,-30.361000061035156
1649654597.3783789,9000,-29.634000778198242
1649654757.9496841,10000,-30.895999908447266
1649654933.6277108,11000,-32.01900100708008
1649655099.2714915,12000,-33.933998107910156
1649655266.9243085,13000,-31.93899917602539
1649655421.7865667,14000,-31.111000061035156
1649655563.8936126,15000,-33.189998626708984
1649655705.7621253,16000,-31.485000610351562
1649655842.9513147,17000,-31.89900016784668
1649655976.9497201,18000,-32.17300033569336
1649656115.2691083,19000,-33.45899963378906
1649656233.8494632,20000,-33.29899978637695
1649656362.7603416,21000,-31.39699935913086
1649656498.4917772,22000,-32.641998291015625
1649656645.3089392,23000,-32.36199951171875
1649656773.719368,24000,-30.17099952697754
1649656920.46981,25000,-30.350000381469727
