Wall_time,Step,Value
1649653284.3465023,1000,-12.897000312805176
1649653518.3765316,2000,-10.416000366210938
1649653763.5440183,3000,-0.6370000243186951
1649654006.6097727,4000,-2.4779999256134033
1649654252.9004362,5000,-3.1730000972747803
1649654487.1035614,6000,-2.5940001010894775
1649654735.0624824,7000,-2.4800000190734863
1649654971.5275981,8000,-2.9800000190734863
1649655212.4619236,9000,-3.253000020980835
1649655439.504219,10000,-3.8350000381469727
1649655670.666955,11000,-3.375999927520752
1649655890.078116,12000,-3.6649999618530273
1649656081.8369653,13000,-3.9739999771118164
1649656284.748242,14000,-3.9159998893737793
1649656493.4724576,15000,-3.8610000610351562
1649656700.1816664,16000,-3.7100000381469727
1649656905.7412314,17000,-3.9070000648498535
1649657111.0346656,18000,-3.799999952316284
1649657292.7613864,19000,-3.234999895095825
1649657425.6562035,20000,-3.243000030517578
1649657556.7356005,21000,-3.431999921798706
1649657708.806245,22000,-3.4200000762939453
1649657849.9589765,23000,-3.374000072479248
1649658001.0412934,24000,-3.6110000610351562
1649658119.2849731,25000,-2.943000078201294
