Wall_time,Step,Value
1649843197.689011,1000,-115.3270034790039
1649843311.970441,2000,-124.39800262451172
1649843434.5236065,3000,-115.85399627685547
1649843556.4230964,4000,-114.71099853515625
1649843672.0491536,5000,-118.05400085449219
1649843786.6094573,6000,-114.36799621582031
1649843906.420693,7000,-114.7040023803711
1649844022.6867518,8000,-113.7750015258789
1649844142.911645,9000,-111.29199981689453
1649844258.9747794,10000,-110.21199798583984
1649844374.3141906,11000,-109.6240005493164
1649844491.4869792,12000,-107.61000061035156
1649844609.211435,13000,-107.31600189208984
1649844726.6112103,14000,-106.06099700927734
1649844842.1308107,15000,-103.96399688720703
1649844957.5467107,16000,-104.03299713134766
1649845073.1871703,17000,-105.05400085449219
1649845191.5606837,18000,-104.86299896240234
1649845308.5395625,19000,-104.16799926757812
1649845424.0056348,20000,-104.80999755859375
1649845542.03882,21000,-103.84200286865234
1649845659.1588597,22000,-104.5989990234375
1649845775.6918175,23000,-105.7760009765625
1649845892.9073396,24000,-105.87000274658203
1649846009.2378957,25000,-104.11799621582031
1649846125.0174136,26000,-104.97699737548828
1649846241.4194694,27000,-104.85099792480469
1649846358.7018895,28000,-104.3030014038086
1649846475.0054455,29000,-104.41200256347656
1649846589.6127126,30000,-103.98699951171875
1649846708.1439786,31000,-103.36399841308594
1649846822.3795292,32000,-104.06800079345703
1649846938.5075533,33000,-103.00599670410156
1649847053.895344,34000,-103.02200317382812
1649847168.953268,35000,-103.93900299072266
1649847284.6742175,36000,-103.8290023803711
1649847402.2050707,37000,-103.4990005493164
1649847516.9537897,38000,-102.58200073242188
1649847632.5448532,39000,-103.9020004272461
1649847748.1454763,40000,-101.74199676513672
1649847864.5740023,41000,-103.03800201416016
1649847981.2656944,42000,-103.55699920654297
1649848096.6420763,43000,-101.3219985961914
1649848212.4320836,44000,-101.14399719238281
1649848328.507296,45000,-101.38600158691406
1649848445.1464982,46000,-100.73300170898438
1649848560.718556,47000,-101.9489974975586
1649848677.4546845,48000,-102.09400177001953
1649848794.4307685,49000,-102.197998046875
1649848911.325943,50000,-101.18499755859375
1649849028.326747,51000,-101.08300018310547
1649849145.996346,52000,-99.69300079345703
1649849261.8351848,53000,-101.31600189208984
1649849377.6370757,54000,-100.56700134277344
1649849495.326257,55000,-100.71099853515625
1649849612.016847,56000,-99.7249984741211
1649849726.9727185,57000,-99.72000122070312
1649849841.9446785,58000,-100.22899627685547
1649849959.1293912,59000,-100.11699676513672
1649850076.053962,60000,-99.25599670410156
1649850194.2127495,61000,-99.80599975585938
1649850312.3602939,62000,-99.8219985961914
1649850427.8955364,63000,-99.6240005493164
1649850542.8738637,64000,-98.5260009765625
1649850658.5778515,65000,-97.66500091552734
1649850772.9878988,66000,-98.33399963378906
1649850888.5179083,67000,-98.1510009765625
1649851003.769151,68000,-97.73699951171875
1649851119.5353723,69000,-97.62999725341797
1649851234.486915,70000,-98.69400024414062
1649851350.2010484,71000,-97.91899871826172
1649851466.3505678,72000,-97.40499877929688
1649851583.2901747,73000,-98.26399993896484
1649851700.3357565,74000,-97.0510025024414
1649851815.1708972,75000,-98.96299743652344
1649851930.0954618,76000,-97.74099731445312
1649852046.5215166,77000,-96.5989990234375
1649852161.5324862,78000,-97.84300231933594
1649852278.5606356,79000,-99.21700286865234
1649852395.6029925,80000,-98.7300033569336
1649852511.5414996,81000,-98.21800231933594
1649852628.2034361,82000,-99.03900146484375
1649852744.0075207,83000,-98.10900115966797
1649852859.6215284,84000,-98.39600372314453
1649852976.4386013,85000,-97.2959976196289
1649853092.828357,86000,-97.71299743652344
1649853207.9841642,87000,-98.1240005493164
1649853323.1935084,88000,-97.98699951171875
1649853439.6252081,89000,-98.19100189208984
1649853554.6316953,90000,-98.75199890136719
1649853671.7264338,91000,-98.56800079345703
1649853787.7198184,92000,-96.16600036621094
1649853903.1360745,93000,-96.73500061035156
1649854019.5829368,94000,-96.79499816894531
1649854135.788674,95000,-97.43900299072266
1649854251.992158,96000,-97.33699798583984
1649854367.706112,97000,-97.44200134277344
1649854484.4877455,98000,-97.20800018310547
1649854601.076176,99000,-97.48899841308594
1649854717.688118,100000,-97.62899780273438
