Wall_time,Step,Value
1649653298.7848566,1000,-118.24299621582031
1649653580.6591694,2000,-121.14399719238281
1649653874.1965806,3000,-109.90499877929688
1649654171.5223954,4000,-115.55799865722656
1649654452.945545,5000,-117.10700225830078
1649654762.4783514,6000,-116.02100372314453
1649655046.2641027,7000,-117.66100311279297
1649655319.5201497,8000,-114.33699798583984
1649655559.6066995,9000,-113.5719985961914
1649655779.6284115,10000,-113.06400299072266
1649656022.6127863,11000,-114.44100189208984
1649656258.5586255,12000,-112.98500061035156
1649656497.227191,13000,-110.17500305175781
1649656726.5565348,14000,-108.49400329589844
1649656963.2291188,15000,-106.44300079345703
1649657156.737783,16000,-103.81199645996094
1649657331.3491817,17000,-104.21600341796875
1649657541.2512,18000,-104.2300033569336
1649657715.4747012,19000,-105.58000183105469
1649657901.6211033,20000,-105.40699768066406
1649658055.8918993,21000,-105.51499938964844
1649658199.5247014,22000,-104.38600158691406
1649658327.475185,23000,-105.5999984741211
1649658443.8604853,24000,-105.0719985961914
1649658558.1079082,25000,-104.62699890136719
