Wall_time,Step,Value
1649653287.8610442,1000,-114.48100280761719
1649653574.3412657,2000,-126.11799621582031
1649653861.6140351,3000,-110.60700225830078
1649654149.2969952,4000,-111.56700134277344
1649654444.6891437,5000,-110.35399627685547
1649654744.018657,6000,-119.4739990234375
1649655048.9776042,7000,-113.10700225830078
1649655337.534673,8000,-112.46299743652344
1649655590.901794,9000,-107.94000244140625
1649655866.933833,10000,-107.08399963378906
1649656132.7929842,11000,-104.56500244140625
1649656397.094148,12000,-104.9010009765625
1649656653.950794,13000,-104.83000183105469
1649656884.3399432,14000,-104.71199798583984
1649657090.2957954,15000,-103.35600280761719
1649657264.8202837,16000,-103.9520034790039
1649657428.251491,17000,-104.21199798583984
1649657598.6467805,18000,-104.58399963378906
1649657770.6670425,19000,-105.2229995727539
1649657936.043292,20000,-106.38400268554688
1649658085.5742524,21000,-104.94200134277344
1649658226.6033726,22000,-104.34600067138672
1649658352.6294215,23000,-105.13099670410156
1649658469.2749143,24000,-103.63300323486328
1649658588.2116237,25000,-105.83899688720703
