Wall_time,Step,Value
1649653320.5878289,1000,-113.4469985961914
1649653599.5829337,2000,-118.52999877929688
1649653886.8209698,3000,-112.4520034790039
1649654182.1824462,4000,-110.98699951171875
1649654477.285436,5000,-119.3239974975586
1649654763.9254692,6000,-119.93499755859375
1649655057.4029386,7000,-115.71600341796875
1649655327.7049322,8000,-113.81700134277344
1649655598.146586,9000,-111.83100128173828
1649655857.3472557,10000,-113.68000030517578
1649656126.3154118,11000,-111.11299896240234
1649656392.8210812,12000,-113.05500030517578
1649656651.2468204,13000,-111.197998046875
1649656889.5573273,14000,-106.73200225830078
1649657088.7660208,15000,-106.83000183105469
1649657263.9609587,16000,-106.8010025024414
1649657425.7891,17000,-107.24800109863281
1649657582.8502724,18000,-106.22200012207031
1649657742.337006,19000,-105.08100128173828
1649657909.8457708,20000,-105.10800170898438
1649658055.9348233,21000,-105.41100311279297
1649658194.260013,22000,-106.60900115966797
1649658323.3176057,23000,-106.50700378417969
1649658440.2016046,24000,-104.41600036621094
1649658554.5244248,25000,-103.59700012207031
