Wall_time,Step,Value
1649653230.166712,1000,-29.05299949645996
1649653391.517734,2000,-22.086999893188477
1649653571.7145581,3000,-11.54800033569336
1649653745.364577,4000,-10.173999786376953
1649653915.6674,5000,-9.09000015258789
1649654081.5200071,6000,-9.116999626159668
1649654251.0091462,7000,-9.119999885559082
1649654414.8912861,8000,-9.031999588012695
1649654582.480004,9000,-9.13599967956543
1649654747.8951685,10000,-8.92199993133545
1649654918.823729,11000,-8.668999671936035
1649655093.5937154,12000,-8.880999565124512
1649655251.4711893,13000,-8.869999885559082
1649655402.761276,14000,-8.99899959564209
1649655558.2476163,15000,-8.609000205993652
1649655716.7370293,16000,-8.574999809265137
1649655870.0105014,17000,-8.598999977111816
1649656026.8853307,18000,-8.85099983215332
1649656179.6983511,19000,-8.67199993133545
1649656336.0110278,20000,-9.04699993133545
1649656487.4290407,21000,-8.694999694824219
1649656641.531315,22000,-8.897000312805176
1649656787.520193,23000,-8.758000373840332
1649656917.2652254,24000,-8.972999572753906
1649657039.0762706,25000,-8.725000381469727
