Wall_time,Step,Value
1649653243.1473966,1000,-26.832000732421875
1649653422.508433,2000,-23.437000274658203
1649653602.9220748,3000,-10.519000053405762
1649653782.6966717,4000,-8.161999702453613
1649653957.693711,5000,-7.875999927520752
1649654136.6493187,6000,-7.36299991607666
1649654317.5822535,7000,-7.006999969482422
1649654496.1221738,8000,-7.0229997634887695
1649654670.657334,9000,-6.849999904632568
1649654856.1684818,10000,-7.1579999923706055
1649655045.6371882,11000,-6.986000061035156
1649655222.4005325,12000,-7.0980000495910645
1649655392.094396,13000,-6.936999797821045
1649655560.5254498,14000,-6.943999767303467
1649655726.502055,15000,-6.624000072479248
1649655890.119832,16000,-6.734000205993652
1649656058.855332,17000,-6.716000080108643
1649656230.7867575,18000,-6.875
1649656400.8448474,19000,-6.8480000495910645
1649656565.7187302,20000,-6.833000183105469
1649656720.2082927,21000,-6.754000186920166
1649656862.7696033,22000,-6.940999984741211
1649656994.9682581,23000,-6.9629998207092285
1649657124.8745797,24000,-7.105000019073486
1649657234.1043499,25000,-6.848999977111816
