Wall_time,Step,Value
1649653213.2773,1000,-28.058000564575195
1649653396.4838893,2000,-23.80500030517578
1649653571.1154299,3000,-10.979000091552734
1649653759.6392121,4000,-8.402999877929688
1649653937.367074,5000,-7.9629998207092285
1649654113.6531725,6000,-7.553999900817871
1649654299.0348682,7000,-7.130000114440918
1649654479.0425801,8000,-7.144999980926514
1649654650.9806197,9000,-6.953000068664551
1649654820.4444106,10000,-6.875999927520752
1649655018.4155788,11000,-7.013000011444092
1649655199.8341749,12000,-6.769999980926514
1649655359.850291,13000,-6.8520002365112305
1649655515.3005192,14000,-6.85099983215332
1649655665.0312653,15000,-6.835999965667725
1649655807.4381049,16000,-6.841000080108643
1649655955.1700978,17000,-6.928999900817871
1649656104.4141552,18000,-6.895999908447266
1649656246.8291907,19000,-6.710999965667725
1649656396.6330707,20000,-6.697999954223633
1649656548.156161,21000,-6.421999931335449
1649656702.1343224,22000,-6.747000217437744
1649656840.7562842,23000,-6.906000137329102
1649656984.1542394,24000,-6.547999858856201
1649657114.3145423,25000,-6.947999954223633
