Wall_time,Step,Value
1649653247.966311,1000,-40.75199890136719
1649653475.1407266,2000,-15.708000183105469
1649653692.4753797,3000,-1.3200000524520874
1649653911.9146268,4000,-2.7200000286102295
1649654127.8248544,5000,-26.413999557495117
1649654355.4784665,6000,-14.763999938964844
1649654591.0652153,7000,-3.940000057220459
1649654825.4965549,8000,-8.883999824523926
1649655044.8165302,9000,-11.425999641418457
1649655267.7233043,10000,-13.227999687194824
1649655465.5038497,11000,-9.657999992370605
1649655657.4914892,12000,-12.708000183105469
1649655851.0872283,13000,-8.001999855041504
1649656012.7310412,14000,-12.07800006866455
1649656198.7259338,15000,-6.276000022888184
1649656376.4692473,16000,-7.558000087738037
1649656572.365131,17000,-9.883999824523926
1649656760.1697793,18000,-12.0
1649656945.7575395,19000,-10.017999649047852
1649657117.7051516,20000,-20.908000946044922
1649657265.780194,21000,-17.040000915527344
1649657416.4752393,22000,-3.364000082015991
1649657576.0105076,23000,-10.979999542236328
1649657729.8305104,24000,-10.942000389099121
1649657893.2310374,25000,-18.01799964904785
