Wall_time,Step,Value
1649653276.3467178,1000,-116.21600341796875
1649653534.3014724,2000,-125.25900268554688
1649653801.443756,3000,-101.0
1649654076.2301466,4000,-99.08499908447266
1649654333.2489522,5000,-101.04000091552734
1649654584.1236215,6000,-105.31199645996094
1649654851.26018,7000,-103.79299926757812
1649655116.8237853,8000,-104.60800170898438
1649655359.3311033,9000,-105.38500213623047
1649655580.3578494,10000,-103.39099884033203
1649655772.7298374,11000,-102.9219970703125
1649655976.710741,12000,-101.21900177001953
1649656196.182545,13000,-100.9010009765625
1649656409.912268,14000,-100.5979995727539
1649656634.5939364,15000,-101.2699966430664
1649656836.8558798,16000,-100.9229965209961
1649657034.6867971,17000,-101.3740005493164
1649657200.2988272,18000,-99.73799896240234
1649657345.4038453,19000,-99.7699966430664
1649657495.249457,20000,-99.08200073242188
1649657652.0835338,21000,-100.05599975585938
1649657801.5285282,22000,-99.22899627685547
1649657950.118415,23000,-101.23300170898438
1649658085.7602432,24000,-100.21399688720703
1649658211.6586308,25000,-99.54199981689453
