Wall_time,Step,Value
1649653276.2251756,1000,-119.6050033569336
1649653524.4781826,2000,-129.07200622558594
1649653776.7031586,3000,-97.52899932861328
1649654031.567797,4000,-97.95999908447266
1649654289.7857292,5000,-100.88400268554688
1649654551.0097802,6000,-104.64199829101562
1649654855.2326035,7000,-107.18499755859375
1649655138.4640305,8000,-108.31199645996094
1649655376.2081442,9000,-103.77300262451172
1649655579.1738286,10000,-102.9209976196289
1649655780.3579156,11000,-104.95099639892578
1649655982.9720635,12000,-105.24500274658203
1649656194.5119085,13000,-101.20899963378906
1649656413.3232205,14000,-102.50199890136719
1649656635.9767053,15000,-102.9990005493164
1649656846.090787,16000,-102.41200256347656
1649657042.3881412,17000,-100.61499786376953
1649657224.8620903,18000,-101.5250015258789
1649657366.7659438,19000,-102.2509994506836
1649657519.3098419,20000,-102.10600280761719
1649657708.5076964,21000,-101.64900207519531
1649657880.448441,22000,-102.14900207519531
1649658027.5046685,23000,-101.64600372314453
1649658164.8191125,24000,-100.77200317382812
1649658288.0679967,25000,-101.0770034790039
